Min Runtime Report (sec.)  ,  ,  ,  , 
Variant               , Base_OpenMP , RAJA_OpenMP , Base_CUDA , RAJA_CUDA
Tuning                , default     , default     , block_64  , block_64 
Apps_MASS3DPA_ATOMIC  ,    0.002159 ,    0.002240 ,  0.000273 ,  0.000274
