Max Runtime Report (sec.)  ,  ,  , 
Variant      , Base_Seq , Base_CUDA , RAJA_CUDA
Tuning       , default  , block_256 , block_256
Apps_ENERGY  , 0.014340 ,  0.001782 ,  0.001785
