Mean Runtime Report (sec.)  ,  ,  ,  , 
Variant               , Base_OpenMP , RAJA_OpenMP , Base_CUDA , RAJA_CUDA
Tuning                , default     , default     , block_64  , block_64 
Apps_MASS3DPA_ATOMIC  ,    0.061103 ,    0.058082 ,  0.004030 ,  0.004027
