Min Runtime Report (sec.)  ,  ,  , 
Variant      , Base_Seq , Base_CUDA , RAJA_CUDA
Tuning       , default  , block_256 , block_256
Apps_EDGE3D  , 2.802775 ,  0.017422 ,  0.017460
