Mean Runtime Report (sec.)  ,  ,  , 
Variant                     , Base_Seq , Base_CUDA , RAJA_CUDA
Tuning                      , default  , block_256 , block_256
Apps_NODAL_ACCUMULATION_3D  , 0.098156 ,  0.001793 ,  0.001799
