Min Speedup Report (T_ref/T_var): ref var = Base_CUDA  ,  , 
Variant                     , Base_CUDA , RAJA_CUDA
Tuning                      , block_256 , block_256
Apps_NODAL_ACCUMULATION_3D  ,     1.000 ,     0.995
