Kernels run on 4 MPI ranks
Kernel        , Variant     , Tuning      ,    Problem size , Checksum   ,    Mean time per rep (sec.) ,    Mean Bandwidth (GiB per sec.) ,    Mean flops (gigaFLOP per sec.)
Apps_EDGE3D   , Base_CUDA   , block_256   ,         1442897 , PASSED     ,                   0.0128545 ,                          3.67322 ,                           1618.02
Apps_EDGE3D   , RAJA_CUDA   , block_256   ,         1442897 , PASSED     ,                   0.0128918 ,                          3.66258 ,                           1613.33
