Min Speedup Report (T_ref/T_var): ref var = Base_OpenMP  ,  ,  ,  , 
Variant               , Base_OpenMP , RAJA_OpenMP , Base_CUDA , RAJA_CUDA
Tuning                , default     , default     , block_64  , block_64 
Apps_MASS3DPA_ATOMIC  ,       1.000 ,       0.903 ,    15.886 ,    15.886
