Kernels run on 4 MPI ranks
Kernel          , Variant     , Tuning      ,    Problem size , Checksum   ,    Mean time per rep (sec.) ,    Mean Bandwidth (GiB per sec.) ,    Mean flops (gigaFLOP per sec.)
Apps_FEMSWEEP   , Base_Seq    , default     ,         1152000 , PASSED     ,                    0.342707 ,                         0.566533 ,                           2.93255
Apps_FEMSWEEP   , Base_CUDA   , block_128   ,         1152000 , PASSED     ,                  0.00332179 ,                          58.4488 ,                           302.549
Apps_FEMSWEEP   , RAJA_CUDA   , block_128   ,         1152000 , PASSED     ,                  0.00397275 ,                          48.8716 ,                           252.975
