Mean Runtime Report (sec.)  ,  ,  ,  , 
Variant      , Base_OpenMP , RAJA_OpenMP , Base_CUDA , RAJA_CUDA
Tuning       , default     , default     , block_256 , block_256
Apps_ENERGY  ,    0.018476 ,    0.018981 ,  0.005539 ,  0.005555
