Kernels run on 4 MPI ranks
Kernel        , Variant       , Tuning      ,    Problem size , Checksum   ,    Mean time per rep (sec.) ,    Mean Bandwidth (GiB per sec.) ,    Mean flops (gigaFLOP per sec.)
Apps_ENERGY   , Base_OpenMP   , default     ,          625000 , PASSED     ,                 0.000142120 ,                          884.662 ,                           241.872
Apps_ENERGY   , RAJA_OpenMP   , default     ,          625000 , PASSED     ,                 0.000146004 ,                          861.131 ,                           235.439
Apps_ENERGY   , Base_CUDA     , block_256   ,          625000 , PASSED     ,                 4.26104e-05 ,                          2950.65 ,                           806.728
Apps_ENERGY   , RAJA_CUDA     , block_256   ,          625000 , PASSED     ,                 4.27275e-05 ,                          2942.57 ,                           804.516
