Max Runtime Report (sec.)  ,  ,  , 
Variant               , Base_Seq , Base_CUDA , RAJA_CUDA
Tuning                , default  , block_64  , block_64 
Apps_MASS3DPA_ATOMIC  , 0.008063 ,  0.000226 ,  0.000223
