Max Runtime Report (sec.)  ,  ,  , 
Variant        , Base_Seq , Base_CUDA , RAJA_CUDA
Tuning         , default  , block_128 , block_128
Apps_FEMSWEEP  , 0.020179 ,  0.000471 ,  0.000705
