Max Runtime Report (sec.)  ,  ,  , 
Variant             , Base_Seq , Base_CUDA , RAJA_CUDA
Tuning              , default  , block_64  , block_64 
Apps_INTSC_HEXRECT  , 0.061737 ,  0.000216 ,  0.000291
