Min Runtime Report (sec.)  ,  ,  ,  , 
Variant             , Base_OpenMP , RAJA_OpenMP , Base_CUDA , RAJA_CUDA
Tuning              , default     , default     , block_64  , block_64 
Apps_INTSC_HEXRECT  ,    0.128487 ,    0.132458 ,  0.006952 ,  0.008406
