Max Speedup Report (T_ref/T_var): ref var = Base_CUDA  ,  , 
Variant        , Base_CUDA , RAJA_CUDA
Tuning         , block_128 , block_128
Apps_FEMSWEEP  ,     1.000 ,     0.660
