Mean Runtime Report (sec.)  ,  ,  ,  , 
Variant      , Base_OpenMP , RAJA_OpenMP , Base_CUDA , RAJA_CUDA
Tuning       , default     , default     , block_256 , block_256
Apps_EDGE3D  ,    0.133659 ,    0.136110 ,  0.017250 ,  0.017274
