Min Runtime Report (sec.)  ,  ,  , 
Variant      , Base_Seq , Base_CUDA , RAJA_CUDA
Tuning       , default  , block_256 , block_256
Apps_EDGE3D  , 22.300286 ,  0.129098 ,  0.129501
