Kernels run on 4 MPI ranks
Kernel          , Variant     , Tuning                              ,    Problem size , Checksum   ,    Mean time per rep (sec.) ,    Mean Bandwidth (GiB per sec.) ,    Mean flops (gigaFLOP per sec.)
Apps_MASS3DEA   , Base_CUDA   , compile_time_block_stride_loop_64   ,          778240 , PASSED     ,                 0.000113315 ,                          52.7330 ,                           48.0755
Apps_MASS3DEA   , RAJA_CUDA   , compile_time_block_stride_loop_64   ,          778240 , PASSED     ,                 7.52720e-05 ,                          79.3846 ,                           72.3733
Apps_MASS3DEA   , RAJA_CUDA   , cached_block_stride_loop_64         ,          778240 , PASSED     ,                 8.12900e-05 ,                          73.5077 ,                           67.0154
