Mean Runtime Report (sec.)  ,  ,  , 
Variant      , Base_Seq , Base_CUDA , RAJA_CUDA
Tuning       , default  , block_256 , block_256
Apps_ENERGY  , 1.743887 ,  0.012368 ,  0.012351
