Mean Runtime Report (sec.)  ,  ,  , 
Variant               , Base_Seq , Base_CUDA , RAJA_CUDA
Tuning                , default  , block_64  , block_64 
Apps_MASS3DPA_ATOMIC  , 1.704684 ,  0.008849 ,  0.008856
