Min Runtime Report (sec.)  ,  ,  ,  , 
Variant                     , Base_OpenMP , RAJA_OpenMP , Base_CUDA , RAJA_CUDA
Tuning                      , default     , default     , block_256 , block_256
Apps_NODAL_ACCUMULATION_3D  ,    0.001378 ,    0.001599 ,  0.000276 ,  0.000274
