Max Speedup Report (T_ref/T_var): ref var = Base_OpenMP  ,  ,  ,  , 
Variant             , Base_OpenMP , RAJA_OpenMP , Base_CUDA , RAJA_CUDA
Tuning              , default     , default     , block_64  , block_64 
Apps_DIFFUSION3DPA  ,       1.000 ,       0.763 ,     2.616 ,     2.759
