Min Runtime Report (sec.)  ,  ,  , 
Variant                     , Base_Seq , Base_CUDA , RAJA_CUDA
Tuning                      , default  , block_256 , block_256
Apps_NODAL_ACCUMULATION_3D  , 0.011884 ,  0.000396 ,  0.000397
