FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  , 
Kernel         , Base_OpenMP-default,         , RAJA_OpenMP-default,         , Base_CUDA-block_128,         , RAJA_CUDA-block_128,        
Apps_FEMSWEEP  , 0                  ,base_ref , -0.079             ,         , 0                  ,base_ref , 0.18               ,OVER_TOL
               ,                    ,         ,                    ,         ,                    ,         ,                    ,        
Col Min        , 0                  ,         , -0.079             ,         , 0                  ,         , 0.18               ,        
Col Max        , 0                  ,         , -0.079             ,         , 0                  ,         , 0.18               ,        
Col Avg        , 0                  ,         , -0.079             ,         , 0                  ,         , 0.18               ,        
Col Std Dev    , 0                  ,         , 0                  ,         , 0                  ,         , 0                  ,        
