Max Runtime Report (sec.)  ,  ,  ,  ,  ,  ,  , 
Variant           , Base_OpenMP , RAJA_OpenMP , Base_CUDA                    , Base_CUDA , RAJA_CUDA                    , RAJA_CUDA , RAJA_CUDA                  
Tuning            , default     , default     , runtime_block_stride_loop_64 , direct_64 , runtime_block_stride_loop_64 , direct_64 , cached_block_stride_loop_64
Apps_MASSVEC3DPA  ,    0.007311 ,    0.009718 ,                     0.001288 ,  0.000869 ,                     0.001305 ,  0.000880 ,                    0.001304
