Mean Runtime Report (sec.)  ,  ,  , 
Variant     , Base_Seq , Base_CUDA , RAJA_CUDA
Tuning      , default  , block_256 , block_256
Apps_VOL3D  , 0.017209 ,  0.000325 ,  0.000272
