Max Runtime Report (sec.)  ,  ,  ,  , 
Variant                     , Base_OpenMP , RAJA_OpenMP , Base_CUDA , RAJA_CUDA
Tuning                      , default     , default     , block_256 , block_256
Apps_NODAL_ACCUMULATION_3D  ,    1.129288 ,    1.167150 ,  0.019862 ,  0.019841
