Mean Runtime Report (sec.)  ,  ,  , 
Variant             , Base_Seq , Base_CUDA , RAJA_CUDA
Tuning              , default  , block_64  , block_64 
Apps_DIFFUSION3DPA  , 0.734463 ,  0.002150 ,  0.002091
