FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel         , Base_OpenMP-default                        ,         , RAJA_OpenMP-default                        ,         , Base_CUDA-compile_time_block_stride_loop_64,         , RAJA_CUDA-compile_time_block_stride_loop_64,         , RAJA_CUDA-cached_block_stride_loop_64      ,        
Apps_MASS3DEA  , 0                                          ,base_ref , 0.44                                       ,OVER_TOL , 0                                          ,base_ref , -0.033                                     ,         , 0.077                                      ,        
               ,                                            ,         ,                                            ,         ,                                            ,         ,                                            ,         ,                                            ,        
Col Min        , 0                                          ,         , 0.44                                       ,         , 0                                          ,         , -0.033                                     ,         , 0.077                                      ,        
Col Max        , 0                                          ,         , 0.44                                       ,         , 0                                          ,         , -0.033                                     ,         , 0.077                                      ,        
Col Avg        , 0                                          ,         , 0.44                                       ,         , 0                                          ,         , -0.033                                     ,         , 0.077                                      ,        
Col Std Dev    , 0                                          ,         , 0                                          ,         , 0                                          ,         , 0                                          ,         , 0                                          ,        
