Min Runtime Report (sec.)  ,  ,  ,  , 
Variant                     , Base_OpenMP , RAJA_OpenMP , Base_CUDA , RAJA_CUDA
Tuning                      , default     , default     , block_256 , block_256
Apps_NODAL_ACCUMULATION_3D  ,    0.559269 ,    0.558686 ,  0.010193 ,  0.010170
