FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  , 
Kernel         , Base_CUDA-compile_time_block_stride_loop_64,         , RAJA_CUDA-compile_time_block_stride_loop_64,         , RAJA_CUDA-cached_block_stride_loop_64      ,        
Apps_MASS3DEA  , 0                                          ,base_ref , -0.008                                     ,         , 0.2                                        ,OVER_TOL
               ,                                            ,         ,                                            ,         ,                                            ,        
Col Min        , 0                                          ,         , -0.008                                     ,         , 0.2                                        ,        
Col Max        , 0                                          ,         , -0.008                                     ,         , 0.2                                        ,        
Col Avg        , 0                                          ,         , -0.008                                     ,         , 0.2                                        ,        
Col Std Dev    , 0                                          ,         , 0                                          ,         , 0                                          ,        
