Min Runtime Report (sec.)  ,  ,  ,  , 
Variant      , Base_OpenMP , RAJA_OpenMP , Base_CUDA , RAJA_CUDA
Tuning       , default     , default     , block_256 , block_256
Apps_EDGE3D  ,    0.001048 ,    0.001081 ,  0.002287 ,  0.002300
