Max Runtime Report (sec.)  ,  ,  ,  , 
Variant               , Base_OpenMP , RAJA_OpenMP , Base_CUDA , RAJA_CUDA
Tuning                , default     , default     , block_64  , block_64 
Apps_MASS3DPA_ATOMIC  ,    0.003141 ,    0.003258 ,  0.000349 ,  0.000348
