Kernels run on 4 MPI ranks
Kernel          , Variant     , Tuning                              ,    Problem size , Checksum   ,    Mean time per rep (sec.) ,    Mean Bandwidth (GiB per sec.) ,    Mean flops (gigaFLOP per sec.)
Apps_MASS3DEA   , Base_CUDA   , compile_time_block_stride_loop_64   ,         3108864 , PASSED     ,                 0.000141652 ,                          168.511 ,                           153.630
Apps_MASS3DEA   , RAJA_CUDA   , compile_time_block_stride_loop_64   ,         3108864 , PASSED     ,                 0.000140522 ,                          169.866 ,                           154.866
Apps_MASS3DEA   , RAJA_CUDA   , cached_block_stride_loop_64         ,         3108864 , PASSED     ,                 0.000169725 ,                          140.638 ,                           128.219
