Max Runtime Report (sec.)  ,  ,  , 
Variant               , Base_Seq , Base_CUDA , RAJA_CUDA
Tuning                , default  , block_64  , block_64 
Apps_MASS3DPA_ATOMIC  , 0.753490 ,  0.004610 ,  0.004612
