Min Runtime Report (sec.)  ,  ,  ,  , 
Variant     , Base_OpenMP , RAJA_OpenMP , Base_CUDA , RAJA_CUDA
Tuning      , default     , default     , block_256 , block_256
Apps_VOL3D  ,    0.000915 ,    0.001081 ,  0.000287 ,  0.000276
