Mean Runtime Report (sec.)  ,  ,  , 
Variant             , Base_Seq , Base_CUDA , RAJA_CUDA
Tuning              , default  , block_64  , block_64 
Apps_DIFFUSION3DPA  , 0.075919 ,  0.000446 ,  0.000461
