Mean Runtime Report (sec.)  ,  ,  ,  , 
Variant      , Base_OpenMP , RAJA_OpenMP , Base_CUDA , RAJA_CUDA
Tuning       , default     , default     , block_256 , block_256
Apps_ENERGY  ,    0.001234 ,    0.001299 ,  0.001804 ,  0.001805
