Max Runtime Report (sec.)  ,  ,  , 
Variant     , Base_Seq , Base_CUDA , RAJA_CUDA
Tuning      , default  , block_256 , block_256
Apps_VOL3D  , 3.611671 ,  0.006886 ,  0.006339
