Min Runtime Report (sec.)  ,  ,  , 
Variant     , Base_Seq , Base_CUDA , RAJA_CUDA
Tuning      , default  , block_256 , block_256
Apps_VOL3D  , 1.728792 ,  0.003572 ,  0.003321
