Min Runtime Report (sec.)  ,  ,  , 
Variant        , Base_Seq , Base_CUDA , RAJA_CUDA
Tuning         , default  , block_128 , block_128
Apps_FEMSWEEP  , 0.108230 ,  0.001416 ,  0.001806
