Kernels run on 4 MPI ranks
Kernel          , Variant     , Tuning                              ,    Problem size , Checksum   ,    Mean time per rep (sec.) ,    Mean Bandwidth (GiB per sec.) ,    Mean flops (gigaFLOP per sec.)
Apps_MASS3DEA   , Base_Seq    , default                             ,         9101312 , PASSED     ,                    0.375862 ,                         0.185918 ,                          0.169502
Apps_MASS3DEA   , Base_CUDA   , compile_time_block_stride_loop_64   ,         9101312 , PASSED     ,                 0.000370367 ,                          188.677 ,                           172.016
Apps_MASS3DEA   , RAJA_CUDA   , compile_time_block_stride_loop_64   ,         9101312 , PASSED     ,                 0.000351549 ,                          198.776 ,                           181.224
Apps_MASS3DEA   , RAJA_CUDA   , cached_block_stride_loop_64         ,         9101312 , PASSED     ,                 0.000386393 ,                          180.851 ,                           164.882
