Mean Runtime Report (sec.)  ,  ,  , 
Variant        , Base_Seq , Base_CUDA , RAJA_CUDA
Tuning         , default  , block_128 , block_128
Apps_FEMSWEEP  , 0.663273 ,  0.005130 ,  0.006133
