Kernels run on 4 MPI ranks
Kernel       , Variant     , Tuning      ,    Problem size , Checksum   ,    Mean time per rep (sec.) ,    Mean Bandwidth (GiB per sec.) ,    Mean flops (gigaFLOP per sec.)
Apps_VOL3D   , Base_CUDA   , block_256   ,           17576 , PASSED     ,                 3.30409e-06 ,                          233.039 ,                           547.787
Apps_VOL3D   , RAJA_CUDA   , block_256   ,           17576 , PASSED     ,                 2.85232e-06 ,                          269.949 ,                           634.549
