Kernels run on 4 MPI ranks
Kernel       , Variant     , Tuning      ,    Problem size , Checksum   ,    Mean time per rep (sec.) ,    Mean Bandwidth (GiB per sec.) ,    Mean flops (gigaFLOP per sec.)
Apps_VOL3D   , Base_CUDA   , block_256   ,          166375 , PASSED     ,                 5.11792e-06 ,                          1170.17 ,                           2789.68
Apps_VOL3D   , RAJA_CUDA   , block_256   ,          166375 , PASSED     ,                 4.40478e-06 ,                          1359.63 ,                           3241.34
