Max Speedup Report (T_ref/T_var): ref var = Base_Seq  ,  ,  , 
Variant        , Base_Seq , Base_CUDA , RAJA_CUDA
Tuning         , default  , block_128 , block_128
Apps_FEMSWEEP  ,    1.000 ,   118.503 ,   100.657
