Min Runtime Report (sec.)  ,  ,  , 
Variant               , Base_Seq , Base_CUDA , RAJA_CUDA
Tuning                , default  , block_64  , block_64 
Apps_MASS3DPA_ATOMIC  , 0.251337 ,  0.001635 ,  0.001635
