Max Runtime Report (sec.)  ,  ,  , 
Variant             , Base_Seq , Base_CUDA , RAJA_CUDA
Tuning              , default  , block_64  , block_64 
Apps_DIFFUSION3DPA  , 0.004310 ,  0.000219 ,  0.000210
