Mean Speedup Report (T_ref/T_var): ref var = Base_Seq  ,  ,  , 
Variant               , Base_Seq , Base_CUDA , RAJA_CUDA
Tuning                , default  , block_64  , block_64 
Apps_MASS3DPA_ATOMIC  ,    1.000 ,     2.840 ,     2.829
