FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  , 
Kernel       , Base_OpenMP-default,         , RAJA_OpenMP-default,         , Base_CUDA-block_256,         , RAJA_CUDA-block_256,        
Apps_EDGE3D  , 0                  ,base_ref , 0.0047             ,         , 0                  ,base_ref , 0.0049             ,        
             ,                    ,         ,                    ,         ,                    ,         ,                    ,        
Col Min      , 0                  ,         , 0.0047             ,         , 0                  ,         , 0.0049             ,        
Col Max      , 0                  ,         , 0.0047             ,         , 0                  ,         , 0.0049             ,        
Col Avg      , 0                  ,         , 0.0047             ,         , 0                  ,         , 0.0049             ,        
Col Std Dev  , 0                  ,         , 0                  ,         , 0                  ,         , 0                  ,        
