Max Runtime Report (sec.)  ,  ,  , 
Variant                     , Base_Seq , Base_CUDA , RAJA_CUDA
Tuning                      , default  , block_256 , block_256
Apps_NODAL_ACCUMULATION_3D  , 0.000212 ,  0.000284 ,  0.000280
