Mean Speedup Report (T_ref/T_var): ref var = Base_CUDA  ,  , 
Variant             , Base_CUDA , RAJA_CUDA
Tuning              , block_64  , block_64 
Apps_INTSC_HEXRECT  ,     1.000 ,     1.011
