Max Runtime Report (sec.)  ,  ,  , 
Variant      , Base_Seq , Base_CUDA , RAJA_CUDA
Tuning       , default  , block_256 , block_256
Apps_EDGE3D  , 1.402974 ,  0.009094 ,  0.009139
