Max Runtime Report (sec.)  ,  ,  ,  , 
Variant               , Base_OpenMP , RAJA_OpenMP , Base_CUDA , RAJA_CUDA
Tuning                , default     , default     , block_64  , block_64 
Apps_MASS3DPA_ATOMIC  ,    0.125491 ,    0.120146 ,  0.007732 ,  0.007733
