Kernels run on 4 MPI ranks
Kernel                , Variant    , Tuning                  ,    Problem size , Checksum   ,    Mean time per rep (sec.) ,    Mean Bandwidth (GiB per sec.) ,    Mean flops (gigaFLOP per sec.)
Basic_REDUCE_STRUCT   , Base_Seq   , default                 ,         9375000 , PASSED     ,                  0.00821376 ,                          17.0078 ,                           2.28275
Basic_REDUCE_STRUCT   , Base_Seq   , kahan                   ,         9375000 , PASSED     ,                   0.0305676 ,                          4.57014 ,                          0.613394
Basic_REDUCE_STRUCT   , Base_Seq   , cascade                 ,         9375000 , PASSED     ,                   0.0149403 ,                          9.35046 ,                           1.25500
Basic_REDUCE_STRUCT   , Base_HIP   , blkatm_direct_256       ,         9375000 , PASSED     ,                  0.00652613 ,                          21.4060 ,                           2.87306
Basic_REDUCE_STRUCT   , Base_HIP   , blkatm_occgs_256        ,         9375000 , PASSED     ,                 0.000170969 ,                          817.096 ,                           109.669
Basic_REDUCE_STRUCT   , RAJA_HIP   , blkatm_direct_256       ,         9375000 , PASSED     ,                 0.000328871 ,                          424.781 ,                           57.0132
Basic_REDUCE_STRUCT   , RAJA_HIP   , blkdev_direct_256       ,         9375000 , PASSED     ,                 0.000375164 ,                          372.367 ,                           49.9782
Basic_REDUCE_STRUCT   , RAJA_HIP   , blkdev_direct_new_256   ,         9375000 , PASSED     ,                  0.00604758 ,                          23.0999 ,                           3.10041
Basic_REDUCE_STRUCT   , RAJA_HIP   , blkatm_occgs_256        ,         9375000 , PASSED     ,                 6.92307e-05 ,                          2017.87 ,                           270.833
Basic_REDUCE_STRUCT   , RAJA_HIP   , blkdev_occgs_256        ,         9375000 , PASSED     ,                 7.29238e-05 ,                          1915.68 ,                           257.118
Basic_REDUCE_STRUCT   , RAJA_HIP   , blkdev_occgs_new_256    ,         9375000 , PASSED     ,                 0.000307589 ,                          454.172 ,                           60.9580
