FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                   , Base_Seq-direct       ,         , Base_HIP-direct_1024  ,         , RAJA_HIP-direct_1024  ,         , RAJA_HIP-funcptr_1024 ,         , RAJA_HIP-virtfunc_1024,        
Comm_HALO_PACKING_FUSED  , 0                     ,base_ref , 0                     ,base_ref , 0.067                 ,         , 0.084                 ,         , 0.12                  ,OVER_TOL
                         ,                       ,         ,                       ,         ,                       ,         ,                       ,         ,                       ,        
Col Min                  , 0                     ,         , 0                     ,         , 0.067                 ,         , 0.084                 ,         , 0.12                  ,        
Col Max                  , 0                     ,         , 0                     ,         , 0.067                 ,         , 0.084                 ,         , 0.12                  ,        
Col Avg                  , 0                     ,         , 0                     ,         , 0.067                 ,         , 0.084                 ,         , 0.12                  ,        
Col Std Dev              , 0                     ,         , 0                     ,         , 0                     ,         , 0                     ,         , 0                     ,        
