Min Runtime Report (sec.)  ,  ,  , 
Variant        , Base_Seq , Base_HIP , RAJA_HIP
Tuning         , default  , block_25 , block_25
Apps_MASS3DPA  , 0.035891 , 0.000400 , 0.000403
