FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel              , Base_Seq-default          ,         , Base_HIP-atomic_direct_256,         , Base_HIP-atomic_occgs_256 ,         , RAJA_HIP-atomic_direct_256,         , RAJA_HIP-atomic_occgs_256 ,        
Basic_MULTI_REDUCE  , 0                         ,base_ref , 0                         ,base_ref , -0.048                    ,         , 0.1                       ,OVER_TOL , -0.036                    ,        
                    ,                           ,         ,                           ,         ,                           ,         ,                           ,         ,                           ,        
Col Min             , 0                         ,         , 0                         ,         , -0.048                    ,         , 0.1                       ,         , -0.036                    ,        
Col Max             , 0                         ,         , 0                         ,         , -0.048                    ,         , 0.1                       ,         , -0.036                    ,        
Col Avg             , 0                         ,         , 0                         ,         , -0.048                    ,         , 0.1                       ,         , -0.036                    ,        
Col Std Dev         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,        
