Mean Runtime Report (sec.)  ,  ,  , 
Variant            , Base_Seq , Base_HIP , RAJA_HIP
Tuning             , default  , block_64 , block_64
Apps_INTSC_HEXHEX  , 2.124658 , 0.366111 , 0.204343
