FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel               , Base_Seq-default              ,         , Base_Seq-kahan                ,         , Base_Seq-cascade              ,         , Base_HIP-blkatm_direct_256    ,         , Base_HIP-blkatm_occgs_256     ,         , RAJA_HIP-blkatm_direct_256    ,         , RAJA_HIP-blkdev_direct_256    ,         , RAJA_HIP-blkdev_direct_new_256,         , RAJA_HIP-blkatm_occgs_256     ,         , RAJA_HIP-blkdev_occgs_256     ,         , RAJA_HIP-blkdev_occgs_new_256 ,        
Basic_REDUCE_STRUCT  , 0                             ,base_ref , 2.7                           ,OVER_TOL , 0.82                          ,OVER_TOL , 0                             ,base_ref , -0.98                         ,         , -0.95                         ,         , -0.95                         ,         , -0.18                         ,         , -0.99                         ,         , -0.99                         ,         , -0.96                         ,        
                     ,                               ,         ,                               ,         ,                               ,         ,                               ,         ,                               ,         ,                               ,         ,                               ,         ,                               ,         ,                               ,         ,                               ,         ,                               ,        
Col Min              , 0                             ,         , 2.7                           ,         , 0.82                          ,         , 0                             ,         , -0.98                         ,         , -0.95                         ,         , -0.95                         ,         , -0.18                         ,         , -0.99                         ,         , -0.99                         ,         , -0.96                         ,        
Col Max              , 0                             ,         , 2.7                           ,         , 0.82                          ,         , 0                             ,         , -0.98                         ,         , -0.95                         ,         , -0.95                         ,         , -0.18                         ,         , -0.99                         ,         , -0.99                         ,         , -0.96                         ,        
Col Avg              , 0                             ,         , 2.7                           ,         , 0.82                          ,         , 0                             ,         , -0.98                         ,         , -0.95                         ,         , -0.95                         ,         , -0.18                         ,         , -0.99                         ,         , -0.99                         ,         , -0.96                         ,        
Col Std Dev          , 0                             ,         , 0                             ,         , 0                             ,         , 0                             ,         , 0                             ,         , 0                             ,         , 0                             ,         , 0                             ,         , 0                             ,         , 0                             ,         , 0                             ,        
