Mean Runtime Report (sec.)  ,  ,  , 
Variant                , Base_Seq , Base_HIP  , RAJA_HIP 
Tuning                 , default  , block_256 , block_256
Basic_INDEXLIST_3LOOP  , 4.381024 ,  0.016606 ,  0.016501
