Max Speedup Report (T_ref/T_var): ref var = Base_Seq  ,  ,  , 
Variant        , Base_Seq , Base_HIP , RAJA_HIP
Tuning         , default  , block_25 , block_25
Apps_MASS3DPA  ,    1.000 ,   21.440 ,   21.324
