FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  , 
Kernel               , Base_Seq-default  ,         , Base_HIP-block_256,         , RAJA_HIP-block_256,        
Apps_DEL_DOT_VEC_2D  , 0                 ,base_ref , 0                 ,base_ref , -0.013            ,        
                     ,                   ,         ,                   ,         ,                   ,        
Col Min              , 0                 ,         , 0                 ,         , -0.013            ,        
Col Max              , 0                 ,         , 0                 ,         , -0.013            ,        
Col Avg              , 0                 ,         , 0                 ,         , -0.013            ,        
Col Std Dev          , 0                 ,         , 0                 ,         , 0                 ,        
